,사용자발화,엔진결과_module,엔진결과_intent_id,엔진결과_intent_title,엔진결과_confidence
47,흰색 동그란마크 달고 장애인이 타지 않았을때 장야인주차장을 쓰면 안되는걸로 아는데,DialogAdapter,IT1607321112433001,장애인 전용구역 불법주정차 신고 안내,0.6123724356957946
48,고마워,DailyDialogAdapter,IT1603712928903001,고마워,1.0
49,오늘 확진자 수는?,DialogAdapter,IT-0224,코로나 발생동향,0.7071067811865475
50,과태료 이의제기,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
51,소화전 신고,DialogAdapter,IT-0089,소화전 사용법 국민안전행동요령,0.7071067811865475
52,사랑해요,DailyDialogAdapter,IT1603680369734001,사랑해,0.9999999999999998
53,안전신고 어떻게 해,DialogAdapter,IT-0020,신고 안내,0.7071067811865475
54,댕큐,DailyDialogAdapter,IT1603712928903001,고마워,0.9999999999999998
55,감사해요,DailyDialogAdapter,IT1603712928903001,고마워,0.9999999999999998
56,네,DialogAdapter,IT1632897711145001,네,1.0
57,네,DialogAdapter,IT1632897711145001,네,1.0
58,네,DialogAdapter,IT1632897711145001,네,1.0
59,수고하셔습니다,DailyDialogAdapter,IT1603712928903001,고마워,1.0
60,잘알겠습니다.감사합니다,DailyDialogAdapter,IT1603712928903001,고마워,0.9999999999999999
61,네,DialogAdapter,IT1632897711145001,네,1.0
62,네?너무 유익합니다,DailyDialogAdapter,IT1603712928903001,고마워,1.0
63,코로나 확진자 수 알려 줘,DialogAdapter,IT-0224,코로나 발생동향,0.816496580927726
64,수영장 안전신고 번호?,DialogAdapter,IT-0158,유선전화 신고 문의,0.7071067811865475
65,주차신고방법 어떻게 ?,DialogAdapter,IT1607321117030001,기타 불법주정차 신고 안내,0.6666666666666669
66,위드코로나 시행시기 알려주세요,DialogAdapter,IT-0225,코로나 뉴스 안내,1.0
67,장애인주차,DialogAdapter,IT1607321112433001,장애인 전용구역 불법주정차 신고 안내,0.816496580927726
68,답변,DialogAdapter,IT-0152,신고 내역 조회,1.0
69,신문고 답변,DialogAdapter,IT-0153,신고 처리 관련 문의,1.0
70,파란하늘이 너무 예뻐요,DailyDialogAdapter,IT1603680696975001,날씨 좋음,1.0
71,화날때 어떻게하면 좋을까요?,DailyDialogAdapter,IT1603700854547001,화남,0.9999999999999999
72,화날땐 어떻게 하면 좋을까요?,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
73,코로나백신 언제,DialogAdapter,IT-0242,코로나19 치료법 문의,0.9999999999999998
74,캠핑주의사항,DialogAdapter,IT-0126,야영장 안전 국민안전행동요령,1.0000000000000002
75,이륜차 소음 신고,DialogAdapter,IT1607320466288001,자전거·이륜차 방치 및 불편 신고 안내,1.0
76,이륜차 소음기 신고요령,DialogAdapter,IT1607321117030001,기타 불법주정차 신고 안내,0.7071067811865475
77,불법주정차신고,DialogAdapter,IT1607320483954001,불법주정차 신고 유형 안내,1.0
78,안전뉴스,DialogAdapter,IT-0216,안전 뉴스 보기,1.0
79,코로나확진자,DialogAdapter,IT-0224,코로나 발생동향,0.816496580927726
80,고마워요,DailyDialogAdapter,IT1603712928903001,고마워,1.0
81,코로나 감염 초기 증상,DialogAdapter,IT-0238,코로나19 증상 문의,0.8660254037844388
82,음식점 이용 주의사항,DialogAdapter,IT-0233,코로나 외식업 종사자 유의사항,0.75
83,지진대피 요령,DialogAdapter,IT-0042,지진 국민안전행동요령,1.0
84,코로나현황 알려 주세요,DialogAdapter,IT-0224,코로나 발생동향,0.9999999999999998
85,캠핑 시에 주의사항,DialogAdapter,IT-0126,야영장 안전 국민안전행동요령,1.0000000000000002
86,블랙박스 영상으로 신고 되나요?,DialogAdapter,IT1610006585591001,블랙박스 신고 가능여부 문의,0.816496580927726
87,도로교통 위반 신고,DialogAdapter,IT1607320239691001,교통위반 신고 안내,0.75
88,불법주차 신고요령,DialogAdapter,IT1607320483954001,불법주정차 신고 유형 안내,0.8660254037844388
89,음성신고방법,DialogAdapter,IT1620715040970001,비긴급 신고,0.6666666666666669
90,등산 시에 해충에대한 행동요령,DialogAdapter,IT-0105,산행 안전 국민안전행동요령,0.8660254037844388
91,알았어요,DialogAdapter,IT-0018,환영인사,0.7071067811865475
92,ㅎㅎㅎ,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
93,코로나백신 접종 완료자도 모임  몇명까지 가능한가?,DialogAdapter,IT-0242,코로나19 치료법 문의,0.6546536707079772
94,넌 대화는 안되니?,DailyDialogAdapter,IT1603680684970001,대화,1.0
95,생활불편신고,DialogAdapter,IT1606892768439001,생활불편신고 유형 안내,1.0000000000000002
96,장애인주차구역,DialogAdapter,IT1607321112433001,장애인 전용구역 불법주정차 신고 안내,0.8660254037844388
97,현재 집합할 수 있는 인원,DialogAdapter,IT-0225,코로나 뉴스 안내,1.0
98,매장 앞 불법주차 차량 견인 부탁합니다.,DOUB API,IT1607320483954001,불법주정차 신고 유형 안내,1.0
99,위드 코로나란?,DialogAdapter,IT-0225,코로나 뉴스 안내,0.91
100,인도주차 신고방법,DialogAdapter,IT1607321117030001,기타 불법주정차 신고 안내,0.8660254037844388
101,현재 코로나 거리두기 단계는?,DialogAdapter,IT-0225,코로나 뉴스 안내,1.0
102,난폭운전신고,DialogAdapter,IT1607320239691001,교통위반 신고 안내,0.9999999999999998
103,산사태 위험이 있으면 어떻게 하나요?,DOUB API,IT-0047,산사태 국민안전행동요령,1.0
104,오늘 인천 확진자,DOUB API,IT-0224,코로나 발생동향,1.0
105,집합금지 신고방법,DialogAdapter,IT1607321124767001,집합금지 조치를 위반한 영업·모임 신고 안내,0.8660254037844388
106,신고를어찌해,DialogAdapter,IT-0020,신고 안내,1.0
107,태풍이오네,DialogAdapter,IT-0036,태풍 호우 국민안전행동요령,1.0
108,불법소각 냄새는 어떻게 신고하나요?,DialogAdapter,IT1607320217567001,대기·수질오염 신고 안내,0.97
109,멧돼지 퇴치 요령,DialogAdapter,IT1620290343011001,긴급 신고,1.0000000000000002
110,유기견(야생견) 신고는 어떻게 하나요?,DialogAdapter,IT-0020,신고 안내,0.6324555320336758
111,코로나19관련정보,DialogAdapter,IT-0029,코로나19,1.0
112,네,DialogAdapter,IT1632897711145001,네,1.0
113,신고방법은,DialogAdapter,IT1620715040970001,비긴급 신고,0.816496580927726
114,고마워~,DailyDialogAdapter,IT1603712928903001,고마워,1.0
115,산에서 멧돼지 맛나면 행동요령,DialogAdapter,IT-0047,산사태 국민안전행동요령,0.8660254037844388
116,네,DialogAdapter,IT1632897711145001,네,1.0
117,안전뉴스,DialogAdapter,IT-0216,안전 뉴스 보기,1.0
118,영등포구 축대,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
119,영등포구 위험지역,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
120,오늘  날씨,DailyDialogAdapter,IT1618298298301001,날씨,0.9999999999999998
121,등산 중에 천둥칠때 대피요령,DialogAdapter,IT-0037,낙뢰 국민안전행동요령,0.7302967433402215
122,마스크미착용,DialogAdapter,IT1607322805559001,"출입자 관리 위반, 마스크 미착용 신고 안내",1.0
123,익명,DialogAdapter,IT1610012062520001,익명보장 확인,0.7071067811865475
124,안녕하세요 제가 얼마전에 신고한 내용과 담당 공무원 2분께서 학원에 방문해 검사해주셨다고 답변을 얻었으나 익명으로 진행된 것인지 궁금하네요,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
125,지층이 자주 흔들립니다,DialogAdapter,IT-0042,지진 국민안전행동요령,0.9999999999999998
126,인천 청라 비파지구 건춘물,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
127,서울역 버스 승강장 이,DialogAdapter,IT1607320061875001,도로·시설물 파손 및 고장 신고 안내,0.6666666666666669
128,세종시 방축1길 16-11 주변 일대 주택단지 화물차 주.야간 주차 단속 해주세요. 작년에 몇차례 민원 요청 하여 경고장만 붙였지만  경고장만 붙이는것을 다 알고 계속 주차중 입니다. 경고장 없이 바로 스티커 발부 바랍니다.,DOUB API,IT1607320483954001,불법주정차 신고 유형 안내,1.0
129,휴대폰 번호 변경,DialogAdapter,IT1610012115491001,휴대전화번호 변경으로 회원정보 조회 불가,0.7745966692414834
130,제대로 검사 한거 맞나요?익명 맞구요? 금토일 영업 한다고 문자도 받았었는데 무슨 영업을 안한다고 이야기 하시는건가요?,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
131,횡단보도주차이잖아요,DialogAdapter,IT1607321097021001,횡단보도 불법주정차 신고 안내,0.95
132,제가 신고한내용이 불수용이라뇨?,DialogAdapter,IT1610006627385001,신고 불수용 문의,0.6666666666666669
133,교차로 신고 후 해당 차량이 이동하고 나서 다시 주차할 경우 벌금이 부과되나요,DOUB API,IT1607320490320001,교차로 모퉁이 불법주정차 신고 안내,1.0
134,교차로 신고 할 경우에요,DialogAdapter,IT1607320490320001,교차로 모퉁이 불법주정차 신고 안내,0.816496580927726
135,불법 판매차량 신고,DialogAdapter,IT1607320222804001,쓰레기·폐기물·유독물 신고 안내,0.6708203932499369
136,무허가 노점상,DialogAdapter,IT1607321117030001,기타 불법주정차 신고 안내,1.0
137,불법 노점상 신고방법,DialogAdapter,IT1607321117030001,기타 불법주정차 신고 안내,0.7071067811865475
138,불법노점상,DialogAdapter,IT1607321117030001,기타 불법주정차 신고 안내,1.0
139,안전보안관,DialogAdapter,IT1610011674292001,안전보안관 회원정보수정,0.7071067811865475
140,항상수고를,DailyDialogAdapter,IT1603760705547001,고생했다,0.9999999999999998
141,감사합니다,DailyDialogAdapter,IT1603712928903001,고마워,0.9999999999999998
142,안전신문고 신고 요령,DialogAdapter,IT-0023,안전신문고 소개,0.6666666666666669
143,코로나백신 부스터샷,DialogAdapter,IT-0242,코로나19 치료법 문의,0.7071067811865475
144,코로나백신 부스터샷 언제?,DialogAdapter,IT-0242,코로나19 치료법 문의,0.7071067811865475
145,부스터샷,DialogAdapter,IT-0225,코로나 뉴스 안내,1.0
146,캠핑시 주의사항,DialogAdapter,IT-0126,야영장 안전 국민안전행동요령,0.75
147,블랙박스로 신고하는 방법은?,DialogAdapter,IT1610006585591001,블랙박스 신고 가능여부 문의,0.816496580927726
148,실행 이 잘되서 좋습니다,DailyDialogAdapter,IT1603712928903001,고마워,1.0000000000000002
149,안전신문고 소개,DialogAdapter,IT-0023,안전신문고 소개,1.0
150,퀵메,DialogAdapter,IT1631167692505001,퀵메뉴 기능 안내,1.0
151,선택해야 하는 신고유형 버튼이 너무 많아 불편해요.,DialogAdapter,IT1631167692505001,퀵메뉴 기능 안내,0.98
152,안전 신고,DialogAdapter,IT1607320056137001,안전 신고 유형 안내,0.9999999999999998
153,마일리지 용도,DialogAdapter,IT1610011710928001,마일리지 및 포상제도 문의,0.9999999999999998
154,폭우,DialogAdapter,IT-0036,태풍 호우 국민안전행동요령,1.0
155,누전,DialogAdapter,IT-0072,전기 사고 국민안전행동요령,1.0
156,네,DialogAdapter,IT1632897711145001,네,1.0
157,불법소각,DialogAdapter,IT1607320217567001,대기·수질오염 신고 안내,1.0
158,통합검색 이용 문의,DialogAdapter,IT1610008687957001,통합검색 이용 문의,0.8660254037844388
159,통합검색 이용 문의,DialogAdapter,IT1610008687957001,통합검색 이용 문의,0.8660254037844388
160,통합검색 이용 문의,DialogAdapter,IT1610008687957001,통합검색 이용 문의,0.8660254037844388
161,통합검색이용문의,DialogAdapter,IT1610008687957001,통합검색 이용 문의,0.8660254037844388
162,통합검색 이용 문의,DialogAdapter,IT1610008687957001,통합검색 이용 문의,0.8660254037844388
163,우측네비,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
164,스쿨존 불법주정차,DialogAdapter,IT1607321104145001,어린이보호구역 불법주정차 신고 안내,1.0000000000000002
165,폭염대비요령,DialogAdapter,IT-0038,폭염 국민안전행동요령,0.8660254037844388
166,Covid19  사적 모임은 5~8명 으로 제한이 있는데   공적모임   즉 자원봉사 모임은 몇명까지 허용 되는지요? 신고해야 하는지요?,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
167,통합검색 이용,DialogAdapter,IT1610008687957001,통합검색 이용 문의,1.0000000000000002
168,소방차전용구간에 주차해도되나요,DOUB API,IT1607320483954001,불법주정차 신고 유형 안내,1.0
169,주차해도되나요??,DialogAdapter,IT1607321112433001,장애인 전용구역 불법주정차 신고 안내,0.7559289460184544
170,소방차전용구간에 주차한차량을 신고했는데 주차가 가능하다고하는데,DOUB API,IT1607320483954001,불법주정차 신고 유형 안내,1.0
171,국민안전대진단,DialogAdapter,IT-0034,국민안전행동요령,1.0
172,10월 집중 활동,DialogAdapter,IT-0205,추천 안전 뉴스,0.816496580927726
173,10월 주요 안전 이슈,DialogAdapter,IT-0164,재난종합상황분석,0.8660254037844388
174,위드코로나 실행일은,DialogAdapter,IT-0225,코로나 뉴스 안내,0.75
175,위드코로나는 뭐지?,DialogAdapter,IT-0225,코로나 뉴스 안내,0.9999999999999998
176,내가 신고한 내용 공개되나요,DialogAdapter,IT-0020,신고 안내,0.6666666666666669
177,신고 내용 공개여부,DialogAdapter,IT1610007305977001,신고 수정·변경 및 삭제,0.7071067811865475
178,내가 신고한 내용,DialogAdapter,IT1610007305977001,신고 수정·변경 및 삭제,0.816496580927726
179,신고내용 공개,DialogAdapter,IT1610007305977001,신고 수정·변경 및 삭제,0.6666666666666669
180,처벌은?,DialogAdapter,IT-0152,신고 내역 조회,1.0
181,코로나 업소 신고,DialogAdapter,IT1607321122687001,코로나19 신고 유형 안내,0.816496580927726
182,10시이후 직원,DialogAdapter,IT1607321122687001,코로나19 신고 유형 안내,1.0
183,가게 10시이후 직원 식사,DialogAdapter,IT1607321122687001,코로나19 신고 유형 안내,1.0
184,https://www.safetyreport.go.kr/#/mypage/mysafereport/7395998,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
185,신고 익명보장,DialogAdapter,IT1610012062520001,익명보장 확인,0.6666666666666669
186,코로나 19 관련 신고를 하면 전화번호와 이름이 익명 보장이 되는거야?,DOUB API,IT1610005624660001,코로나 신고 전화번호 문의,1.0
187,날씨,DialogAdapter,IT-0166,이번 달 기상전망,0.7071067811865475
188,위드코로나,DialogAdapter,IT-0225,코로나 뉴스 안내,1.0
189,코로나상황,DialogAdapter,IT-0225,코로나 뉴스 안내,0.9999999999999998
190,하수관이 넘치는 것도 신고가 가능한가요?,DialogAdapter,IT1607320172233001,"건설, (해체)공사장 위험",0.6666666666666669
191,간편하게 안신봇을 이용하는 방법,DialogAdapter,IT-0179,도움말 요청,1.0000000000000002
192,신고내용,DialogAdapter,IT1610007305977001,신고 수정·변경 및 삭제,0.816496580927726
193,너무감사합니다,DailyDialogAdapter,IT1603760058457001,너무해,0.816496580927726
194,과태로보다 계도가,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
195,코로나확진자 행동수칙을 알고 싶어요,DialogAdapter,IT-0227,코로나 대상별 유의사항,0.8660254037844388
196,울산에서 열심히 활동하고있어요,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
197,감사합니다?,DailyDialogAdapter,IT1603712928903001,고마워,0.9999999999999998
198,감사합니다,DailyDialogAdapter,IT1603712928903001,고마워,0.9999999999999998
199,직장동료가 코로나 확진된 이후 사무실에 와서 노트북을 가져갔습니다. 격리조치 위반인가요?,DOUB API,IT-0224,코로나 발생동향,1.0
200,안녕하세요 울산,DialogAdapter,IT-0018,환영인사,0.7071067811865475
201,코로나확진자 격리,DialogAdapter,IT-0224,코로나 발생동향,0.6666666666666669
202,실적 통계는 어디서 볼수있습니까?,DialogAdapter,IT-0198,안전신고통계 보기,0.9999999999999998
203,신고내용은 알려주나요?,DialogAdapter,IT-0020,신고 안내,0.95
204,교통시설 문제도 신고할 수 있나요?,DialogAdapter,IT1607320061875001,도로·시설물 파손 및 고장 신고 안내,0.97
205,불법주차,DialogAdapter,IT1607320483954001,불법주정차 신고 유형 안내,1.0
206,등교길 불법주자,DialogAdapter,IT1607320483954001,불법주정차 신고 유형 안내,0.75
207,밤에 주정차위반은  신고하는것 아닌가요?,DialogAdapter,IT1607320483954001,불법주정차 신고 유형 안내,0.8660254037844388
208,고객센터,DialogAdapter,IT-0221,안신앱 운영센터 전화 연결,0.816496580927726
209,신고후 조치사항 알려주세요,DialogAdapter,IT-0153,신고 처리 관련 문의,0.6708203932499369
210,금연거리지정,DialogAdapter,IT1606892768439001,생활불편신고 유형 안내,1.0
211,금연거리는 어떤조건으로 지정되는거예요??,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
212,이해했어요,DialogAdapter,IT1632897711145001,네,0.7071067811865475
213,2021년9월18일부터22일까지 명절이라서 불법주정차 과태료 부과하지 않아서 억울합니다.,DOUB API,IT1610007223559001,불법 주정차 과태료,1.0
214,안녕하세요.,DialogAdapter,IT-0018,환영인사,1.0
215,전화로 신고 가능?,DialogAdapter,IT1607320172233001,"건설, (해체)공사장 위험",0.6666666666666669
216,밀접 접촉을 했어,DialogAdapter,IT-0241,코로나19 접촉자 문의,0.816496580927726
217,강풍이 불때,DialogAdapter,IT-0036,태풍 호우 국민안전행동요령,0.7071067811865475
218,횡단보도 불법주차 신고 방법,DialogAdapter,IT1607321097021001,횡단보도 불법주정차 신고 안내,0.6708203932499369
219,불법주차신고 어떻게 해,DialogAdapter,IT1607320483954001,불법주정차 신고 유형 안내,0.91
220,고마워요,DailyDialogAdapter,IT1603712928903001,고마워,1.0
221,네,DialogAdapter,IT1632897711145001,네,1.0
222,네,DialogAdapter,IT1632897711145001,네,1.0
223,너무 오래걸리네,DialogAdapter,IT-0154,신고 처리 결과 불만족,1.0
224,조치가 너무 오래걸리네,DialogAdapter,IT1610008152088001,신고 처리 기간 문의,1.0
225,신고,DialogAdapter,IT-0020,신고 안내,1.0
226,공사장 안전모 미착용은 신고대상이 되니?,DialogAdapter,IT1607320172233001,"건설, (해체)공사장 위험",0.7745966692414834
227,녱,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
228,이번달 재난 대비 알고 싶어요,DialogAdapter,IT-0170,이번 달 주요재난현황,0.75
229,새로운 거리두기,DialogAdapter,IT1607322793809001,밀폐·밀집·밀접이 일어난 경우 신고 안내,0.9999999999999998
230,거리두기 기준 견경,DialogAdapter,IT1607322793809001,밀폐·밀집·밀접이 일어난 경우 신고 안내,0.7071067811865475
231,기온 차가 심하면,DailyDialogAdapter,IT1618298298301001,날씨,1.0000000000000002
232,황색실선 정차 및 주차,DialogAdapter,IT1607321117030001,기타 불법주정차 신고 안내,0.8660254037844388
233,기온 급감,DailyDialogAdapter,IT1618298298301001,날씨,0.9999999999999998
234,불법 택시,DialogAdapter,IT1607320479310001,기타 생활불편 신고 안내,1.0
235,넌 뭘할줄아냐,DialogAdapter,IT-0179,도움말 요청,0.7999999999999999
236,예방접종을 안하려는 사람에겐 어떻게 말해요?,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
237,전화신고,DialogAdapter,IT-0158,유선전화 신고 문의,0.816496580927726
238,안전지대 불법주정차,DialogAdapter,IT1607320483954001,불법주정차 신고 유형 안내,0.7071067811865475
239,백신접종시기,DialogAdapter,IT-0242,코로나19 치료법 문의,0.816496580927726
240,오늘 날씨 좋다,DailyDialogAdapter,IT1603680696975001,날씨 좋음,1.0000000000000002
241,코로나 집합금지 신고,DialogAdapter,IT1607321124767001,집합금지 조치를 위반한 영업·모임 신고 안내,0.8660254037844388
242,오늘 확진자,DialogAdapter,IT-0224,코로나 발생동향,0.7071067811865475
243,신고한게 처리가 않됐어,DialogAdapter,IT-0154,신고 처리 결과 불만족,0.816496580927726
244,캠핑주의사항,DialogAdapter,IT-0126,야영장 안전 국민안전행동요령,1.0000000000000002
245,신고한  건이 아직 미이행 인데 어떻게해?,DialogAdapter,IT1610008152088001,신고 처리 기간 문의,0.97
246,안녕하세요,DialogAdapter,IT-0018,환영인사,1.0
247,불법주차,DialogAdapter,IT1607320483954001,불법주정차 신고 유형 안내,1.0
248,주차신고,DialogAdapter,IT1607320483954001,불법주정차 신고 유형 안내,1.0
249,도로 교통법에 의한 주정차 금지구역,DialogAdapter,IT1607321117030001,기타 불법주정차 신고 안내,0.6123724356957946
250,안녕ㅎㅏ세요 여기는조치원방향 사창사거리예요 교통정보안내기에 시간이 틀려서 불편햇어요 시정해주셔요 수고하세요,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
251,길고양이 사체,DialogAdapter,IT1620715040970001,비긴급 신고,0.9999999999999998
252,길고양이,DialogAdapter,IT1620715040970001,비긴급 신고,1.0
253,질의하신 2109-0800687은 신속히 처리 되었슴을 확인하였습니다,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
254,안녕하세요 혹시 신고하면 신고자 정보가 공유 되나요    불법을 행위하고있는 집을 신고를 했었는데요   신고자가 누구녀하고 말해달라고하면 신고자 정보을 알려주나요 신고을 당한집에요,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
255,안전신문고 사진업로드가 안됩니다,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
256,신고 내역 빠른처리,DialogAdapter,IT-0153,신고 처리 관련 문의,0.816496580927726
257,빠른처리,DialogAdapter,IT1610008152088001,신고 처리 기간 문의,1.0
258,신고한것 처리,DialogAdapter,IT1610007855287001,신고 처리 기관 문의,0.9999999999999998
259,사적모임신고,DialogAdapter,IT1607321124767001,집합금지 조치를 위반한 영업·모임 신고 안내,1.0
260,코로나 방역수칙위반 신고,DialogAdapter,IT1607321122687001,코로나19 신고 유형 안내,0.9999999999999999
261,이렇게 넘어가니까 지금도 담배피고 침뱉고 난리납니다 이게 나라입니까 범죄자 양성나라지.,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
262,오늘 코로나확진자  몇명나왔어?,DialogAdapter,IT-0224,코로나 발생동향,1.0000000000000002
263,가로등 고장신고는 어떻게해?,DialogAdapter,IT1607320474688001,에너지 과소비 신고 안내,0.6666666666666669
264,오늘 코로나 확진자수,DialogAdapter,IT-0224,코로나 발생동향,1.0
265,오늘 날씨가 어때,DailyDialogAdapter,IT1618298298301001,날씨,1.0000000000000002
266,불법주차 기준이 뭐야,DialogAdapter,IT-0022,불법주정차 신고 대상,0.8660254037844388
267,너무오래 활동을 못했네요,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
268,응급환자 신고 어디로해,DialogAdapter,IT1620290343011001,긴급 신고,1.0000000000000002
269,증인으로 신고가능?,DialogAdapter,IT1607321122687001,코로나19 신고 유형 안내,0.6666666666666669
270,오늘 코로나 확진자수,DialogAdapter,IT-0224,코로나 발생동향,1.0
271,현재 거리둔기 단계,DialogAdapter,IT-0225,코로나 뉴스 안내,0.6666666666666669
272,집중호우 대피팁,DOUB API,IT-0036,태풍 호우 국민안전행동요령,1.0
273,가을산불 주의사항,DialogAdapter,IT-0066,산불 국민안전행동요령,0.8660254037844388
274,신호위반  신고기준 뭐야,DialogAdapter,IT1607320239691001,교통위반 신고 안내,1.0
275,불법주차 신고기준 뭐야,DialogAdapter,IT-0022,불법주정차 신고 대상,1.0
