,사용자발화,엔진결과_module,엔진결과_intent_id,엔진결과_intent_title,엔진결과_confidence
23,호우ㆍ태풍시 대처법,DialogAdapter,IT-0036,태풍 호우 국민안전행동요령,0.8944271909999159
24,번개,DialogAdapter,IT-0037,낙뢰 국민안전행동요령,1.0
25,천둥,DialogAdapter,IT-0037,낙뢰 국민안전행동요령,1.0
26,천둥번개,DialogAdapter,IT-0037,낙뢰 국민안전행동요령,0.9999999999999998
27,폭염,DialogAdapter,IT-0038,폭염 국민안전행동요령,1.0
28,무더위,DialogAdapter,IT-0038,폭염 국민안전행동요령,1.0
29,가뭄,DialogAdapter,IT-0039,가뭄 국민안전행동요령,1.0
30,가뭄에 대해,DialogAdapter,IT-0039,가뭄 국민안전행동요령,0.7071067811865475
31,가뭄 주의사항,DialogAdapter,IT-0039,가뭄 국민안전행동요령,1.0
32,대설,DialogAdapter,IT-0040,대설 국민안전행동요령,1.0
33,폭설,DialogAdapter,IT-0040,대설 국민안전행동요령,1.0
34,한파,DialogAdapter,IT-0041,한파 국민안전행동요령,1.0
35,매서운 추위,DialogAdapter,IT-0041,한파 국민안전행동요령,1.0
36,동상,DialogAdapter,IT-0041,한파 국민안전행동요령,1.0
37,지진,DialogAdapter,IT-0042,지진 국민안전행동요령,1.0
38,지진 대처법,DialogAdapter,IT-0042,지진 국민안전행동요령,0.91
39,장소별 지진 대처법,DialogAdapter,IT-0043,장소별 지진 국민안전행동요령,1.0
40,장소별 지진 행동요령,DialogAdapter,IT-0043,장소별 지진 국민안전행동요령,1.0
41,상황별 지진 대처법,DialogAdapter,IT-0044,상황별 지진 국민안전행동요령,1.0
42,상활별 지진 행동요령,DialogAdapter,IT-0042,지진 국민안전행동요령,0.8660254037844388
43,화산재,DialogAdapter,IT-0045,화산재 낙하 국민안전행동요령,1.0
44,화산폭발,DialogAdapter,IT-0045,화산재 낙하 국민안전행동요령,0.9999999999999998
45,화산 분출,DialogAdapter,IT-0045,화산재 낙하 국민안전행동요령,1.0
46,황사,DialogAdapter,IT-0046,황사 고농도 미세먼지 국민안전행동요령,1.0
47,미세먼지,DialogAdapter,IT-0046,황사 고농도 미세먼지 국민안전행동요령,1.0
48,초미세먼지,DialogAdapter,IT-0046,황사 고농도 미세먼지 국민안전행동요령,1.0
49,산사태,DialogAdapter,IT-0047,산사태 국민안전행동요령,1.0
50,사회재난,DialogAdapter,IT-0048,사회재난 국민안전행동요령,1.0
51,사회재난 방지,DialogAdapter,IT-0048,사회재난 국민안전행동요령,1.0000000000000002
52,사회재난 대처법,DialogAdapter,IT-0048,사회재난 국민안전행동요령,0.93
53,해양오염,DialogAdapter,IT-0049,해양오염사고 국민안전행동요령,0.816496580927726
54,바다오염,DialogAdapter,IT-0049,해양오염사고 국민안전행동요령,0.816496580927726
55,수질오염 대처법,DialogAdapter,IT-0050,대규모 수질오염 국민안전행동요령,0.93
56,수질오염,DialogAdapter,IT1607320217567001,대기·수질오염 신고 안내,1.0
57,식용수,DialogAdapter,IT-0051,식용수 오염 국민안전행동요령,0.816496580927726
58,식용수 오염,DialogAdapter,IT-0051,식용수 오염 국민안전행동요령,1.0
59,식수,DialogAdapter,IT-0051,식용수 오염 국민안전행동요령,1.0
60,식수 오염,DialogAdapter,IT-0051,식용수 오염 국민안전행동요령,1.0
61,공동구,DialogAdapter,IT-0052,공동구 사고 국민안전행동요령,0.7071067811865475
62,공동구 사고,DialogAdapter,IT-0052,공동구 사고 국민안전행동요령,1.0
63,공동구 균열,DialogAdapter,IT-0052,공동구 사고 국민안전행동요령,1.0
64,가축 전염병,DialogAdapter,IT-0053,가축 전염병 국민안전행동요령,1.0
65,감염병 예방,DialogAdapter,IT-0054,감염병 예방 국민안전행동요령,1.0
66,감염병,DialogAdapter,IT-0054,감염병 예방 국민안전행동요령,0.7071067811865475
67,고속철도 사고,DialogAdapter,IT-0055,고속철도 사고 국민안전행동요령,1.0
68,기차,DialogAdapter,IT-0055,고속철도 사고 국민안전행동요령,0.7071067811865475
69,고속철도,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
70,지하철,DialogAdapter,IT-0056,지하철 사고 국민안전행동요령,0.7071067811865475
71,지하철 사고,DialogAdapter,IT-0056,지하철 사고 국민안전행동요령,1.0
72,방사선,DialogAdapter,IT-0057,방사선 누출 사고 국민안전행동요령,0.7071067811865475
73,방사선 누출,DialogAdapter,IT-0057,방사선 누출 사고 국민안전행동요령,0.816496580927726
74,방사선 누출 사고,DialogAdapter,IT-0057,방사선 누출 사고 국민안전행동요령,1.0000000000000002
75,방사선 사고,DialogAdapter,IT-0057,방사선 누출 사고 국민안전행동요령,0.9999999999999998
76,화학물질,DialogAdapter,IT-0058,화학물질 사고 국민안전행동요령,0.816496580927726
77,화학물질 유출,DialogAdapter,IT-0058,화학물질 사고 국민안전행동요령,0.8660254037844388
78,화학 물질 사고,DialogAdapter,IT-0058,화학물질 사고 국민안전행동요령,1.0
79,화재,DialogAdapter,IT-0059,화재 국민안전행동요령,1.0
80,화재 대처법,DialogAdapter,IT-0059,화재 국민안전행동요령,0.91
81,화재 행동요령,DialogAdapter,IT-0066,산불 국민안전행동요령,0.8660254037844388
82,화재 경보,DialogAdapter,IT-0060,화재 경보가 울릴때,1.0
83,화재 경보시 행동,DialogAdapter,IT-0060,화재 경보가 울릴때,0.7071067811865475
84,불 발견,DialogAdapter,IT-0061,불을 발견했을때,1.0
85,불이야!,DialogAdapter,IT-0059,화재 국민안전행동요령,1.0
86,불,DialogAdapter,IT-0066,산불 국민안전행동요령,0.7071067811865475
87,완강기,DialogAdapter,IT-0062,완강기 사용법,0.7071067811865475
88,완강기 사용법,DialogAdapter,IT-0062,완강기 사용법,0.92
89,옷에 불,DialogAdapter,IT-0065,옷에 불이 붙었을때,0.816496580927726
90,불 붙었을때,DialogAdapter,IT-0065,옷에 불이 붙었을때,0.816496580927726
91,산불,DialogAdapter,IT-0066,산불 국민안전행동요령,1.0
92,산에서 불이나,DialogAdapter,IT-0066,산불 국민안전행동요령,0.7071067811865475
93,산불 안전수칙,DialogAdapter,IT-0066,산불 국민안전행동요령,1.0000000000000002
94,건축물 붕괴 안전수칙,DialogAdapter,IT-0067,건축물 붕괴 국민안전행동요령,1.0
95,건축물 붕괴,DialogAdapter,IT1607320061875001,도로·시설물 파손 및 고장 신고 안내,0.9999999999999998
96,건물 붕괴,DialogAdapter,IT1607320061875001,도로·시설물 파손 및 고장 신고 안내,0.9999999999999998
97,건축물 붕괴 징후,DialogAdapter,IT-0068,건축물 붕괴 징후와 붕괴사고 신고,1.0
98,건물 붕괴 징후,DialogAdapter,IT-0068,건축물 붕괴 징후와 붕괴사고 신고,0.92
99,건축물 붕괴 전조,DialogAdapter,IT1607320061875001,도로·시설물 파손 및 고장 신고 안내,0.6666666666666669
100,건물 붕괴 전조,DialogAdapter,IT1607320061875001,도로·시설물 파손 및 고장 신고 안내,0.6666666666666669
101,붕괴된 건물 안,DialogAdapter,IT-0069,붕괴된 건축물 안에 있을 경우,0.8660254037844388
102,붕괴된 건축물 안,DialogAdapter,IT-0069,붕괴된 건축물 안에 있을 경우,0.8660254037844388
103,댐 붕괴,DialogAdapter,IT-0071,댐 붕괴 국민안전행동요령,0.816496580927726
104,댐 붕괴시 대처법,DialogAdapter,IT-0071,댐 붕괴 국민안전행동요령,0.8944271909999159
105,전기,DialogAdapter,IT1607320474688001,에너지 과소비 신고 안내,0.7071067811865475
106,전기 사고,DialogAdapter,IT-0072,전기 사고 국민안전행동요령,1.0
107,정전시 대처법,DialogAdapter,IT-0078,정전 발생 시 조치,1.0
108,우리집 정전 됬어,DialogAdapter,IT-0073,우리 집만 정전 시,0.816496580927726
109,집 정전,DialogAdapter,IT-0072,전기 사고 국민안전행동요령,0.7071067811865475
110,이웃과 정전,DialogAdapter,IT-0074,이웃과 같이 정전 시,0.816496580927726
111,이웃들 정전,DialogAdapter,IT-0074,이웃과 같이 정전 시,0.816496580927726
112,예고 정전,DialogAdapter,IT-0075,예고 정전 시,0.816496580927726
113,정전 예고,DialogAdapter,IT-0075,예고 정전 시,1.0
114,엘리베이터 정전,DialogAdapter,IT-0076,엘리베이터에서 정전 시,1.0
115,엘레베이터 정전,DialogAdapter,IT-0076,엘리베이터에서 정전 시,1.0
116,대피 명령,DialogAdapter,IT-0077,대피 명령 시 전기 설비 조치,0.7071067811865475
117,전기 설비,DialogAdapter,IT-0072,전기 사고 국민안전행동요령,0.9999999999999998
118,전기 설비 조치,DialogAdapter,IT-0072,전기 사고 국민안전행동요령,0.816496580927726
119,정전,DialogAdapter,IT-0072,전기 사고 국민안전행동요령,1.0
120,정전 났어!,DialogAdapter,IT-0072,전기 사고 국민안전행동요령,1.0
121,정전 발생,DialogAdapter,IT-0078,정전 발생 시 조치,1.0
122,야외 전기 사고,DialogAdapter,IT-0079,야외에서 전기 사고 예방,0.8660254037844388
123,야외 전기,DialogAdapter,IT-0079,야외에서 전기 사고 예방,0.7071067811865475
124,재해 전 전기사고,DialogAdapter,IT-0080,재해발생 전 전기 사고 예방,0.8164965809277261
125,재해 전기사고,DialogAdapter,IT-0072,전기 사고 국민안전행동요령,0.816496580927726
126,선박ㆍ배사고,DialogAdapter,IT-0081,선박 사고 국민안전행동요령,0.816496580927726
127,선박ㆍ배사고 대처법,DialogAdapter,IT-0081,선박 사고 국민안전행동요령,0.8944271909999159
128,선박ㆍ배사고에 대해 알려줘,DialogAdapter,IT-0081,선박 사고 국민안전행동요령,0.6666666666666669
129,테러,DialogAdapter,IT-0082,테러 국민안전행동요령,1.0
130,테러 대처법,DialogAdapter,IT-0082,테러 국민안전행동요령,0.91
131,테러 현장,DialogAdapter,IT-0082,테러 국민안전행동요령,0.7071067811865475
132,터널 사고,DialogAdapter,IT-0083,도로 터널사고 국민안전행동요령,1.0
133,터널 사고 대처법,DialogAdapter,IT-0083,도로 터널사고 국민안전행동요령,0.93
134,도로 터널 사고,DialogAdapter,IT-0083,도로 터널사고 국민안전행동요령,0.816496580927726
135,일상생활 안전수칙,DialogAdapter,IT-0084,생활안전 국민안전행동요령,0.8660254037844388
136,생활 안전,DialogAdapter,IT-0084,생활안전 국민안전행동요령,1.0
137,응급처치,DialogAdapter,IT-0085,응급처치 국민안전행동요령,0.7071067811865475
138,응급상황,DialogAdapter,IT-0085,응급처치 국민안전행동요령,1.0
139,심폐소생술,DialogAdapter,IT-0086,심폐소생술 국민안전행동요령,1.0
140,심폐소생술 하는법,DialogAdapter,IT-0086,심폐소생술 국민안전행동요령,0.8660254037844388
141,심장 충격기,DialogAdapter,IT-0087,자동심장충격기 국민안전행동요령,1.0000000000000002
142,심장충격기 사용법,DialogAdapter,IT-0087,자동심장충격기 국민안전행동요령,1.0
143,심장이 안뛰어,DialogAdapter,IT1620290343011001,긴급 신고,1.0
144,소화기 사용법,DialogAdapter,IT-0088,소화기 사용법 국민안전행동요령,0.92
145,소화기,DialogAdapter,IT-0088,소화기 사용법 국민안전행동요령,0.7071067811865475
146,소화전 사용법,DialogAdapter,IT-0089,소화전 사용법 국민안전행동요령,0.92
147,소화전,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
148,식중독,DialogAdapter,IT-0090,식중독예방 국민안전행동요령,1.0
149,식중독 증상,DialogAdapter,IT-0090,식중독예방 국민안전행동요령,1.0
150,식중독 예방,DialogAdapter,IT-0090,식중독예방 국민안전행동요령,0.9999999999999998
151,노로바이러스,DialogAdapter,IT-0090,식중독예방 국민안전행동요령,0.9999999999999998
152,노로바이러스가 뭐야?,DialogAdapter,IT-0091,노로바이러스의 특징과 주요 증상,1.0
153,노로바이러스 특징,DialogAdapter,IT-0091,노로바이러스의 특징과 주요 증상,1.0
154,노로바이러스 증상,DialogAdapter,IT-0091,노로바이러스의 특징과 주요 증상,1.0
155,노로 바이러스 감염,DialogAdapter,IT-0090,식중독예방 국민안전행동요령,0.8660254037844388
156,노로바이러스 감염경로,DialogAdapter,IT-0092,노로바이러스 주요 감염 경로,0.91
157,노로바이러스 예방,DialogAdapter,IT-0093,노로바이러스 식중독 예방,1.0
158,노로바이러스 예방법,DialogAdapter,IT-0093,노로바이러스 식중독 예방,0.94
159,노로바이러스 대처법,DialogAdapter,IT-0090,식중독예방 국민안전행동요령,0.7071067811865475
160,나들이철 식중독,DialogAdapter,IT-0094,나들이철 식중독 발생원인,0.816496580927726
161,나들이 식중독 원인,DialogAdapter,IT-0094,나들이철 식중독 발생원인,0.94
162,나들이 식중독,DialogAdapter,IT-0094,나들이철 식중독 발생원인,0.7071067811865475
163,나들이철 도시락,DialogAdapter,IT-0095,나들이철 도시락 식중독 예방 방법,0.7071067811865475
164,도시락 식중독,DialogAdapter,IT-0095,나들이철 도시락 식중독 예방 방법,1.0
165,산나물 식중독,DialogAdapter,IT-0096,나들이철 산나물 섭취 식중독 예방 방법,0.7071067811865475
166,장염비브리오,DialogAdapter,IT-0098,장염비브리오 예방 요령,0.816496580927726
167,장염비브리오가 뭐야?,DialogAdapter,IT-0098,장염비브리오 예방 요령,0.816496580927726
168,장염비브리오 예방,DialogAdapter,IT-0098,장염비브리오 예방 요령,1.0
169,장염비브리오 대처법,DialogAdapter,IT-0036,태풍 호우 국민안전행동요령,0.7071067811865475
170,수상레저기구,DialogAdapter,IT-0099,수상레저기구 안전 국민안전행동요령,1.0
171,수상레저기구 안전수칙,DialogAdapter,IT-0099,수상레저기구 안전 국민안전행동요령,0.9999999999999999
172,낚시,DialogAdapter,IT-0100,낚시 안전 국민안전행동요령,1.0
173,낚시 안전수칙,DialogAdapter,IT-0100,낚시 안전 국민안전행동요령,1.0000000000000002
174,낚시할때 유의점,DialogAdapter,IT-0100,낚시 안전 국민안전행동요령,1.0
175,바다낚시,DialogAdapter,IT-0102,바다 낚시 안전,0.7071067811865475
176,바다낚시 안전수칙,DialogAdapter,IT-0102,바다 낚시 안전,1.0000000000000002
177,내수면 낚시,DialogAdapter,IT-0103,내수면 낚시 안전,0.816496580927726
178,내수면 낚시 안전수칙,DialogAdapter,IT-0103,내수면 낚시 안전,1.0
179,물놀이,DialogAdapter,IT-0104,물놀이 안전 국민안전행동요령,1.0
180,물놀이 주의사항,DialogAdapter,IT-0104,물놀이 안전 국민안전행동요령,1.0
181,물놀이 안전수칙,DialogAdapter,IT-0104,물놀이 안전 국민안전행동요령,0.8660254037844388
182,등산ㆍ산행 안전수칙,DialogAdapter,IT-0105,산행 안전 국민안전행동요령,0.8660254037844388
183,어린이 놀이시설 안전수칙,DialogAdapter,IT-0106,어린이 놀이 시설 국민안전행동요령,0.9999999999999999
184,오르기 기구,DialogAdapter,IT-0107,오르기 기구 국민안전행동요령,0.7071067811865475
185,오르기 기구 안전수칙,DialogAdapter,IT-0107,오르기 기구 국민안전행동요령,1.0000000000000002
186,오르기 기구 사고 대처법,DialogAdapter,IT-0107,오르기 기구 국민안전행동요령,1.0
187,그네,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
188,그네 안전수칙,DialogAdapter,IT-0108,그네 국민안전행동요령,1.0
189,그네 이용시 행동요령,DOUB API,IT-0034,국민안전행동요령,1.0
190,미끄럼틀,DialogAdapter,IT-0109,미끄럼틀 국민안전행동요령,0.7071067811865475
191,미끄럼틀 안전수칙,DialogAdapter,IT-0109,미끄럼틀 국민안전행동요령,1.0000000000000002
192,미끄럼틀 행동요령,DialogAdapter,IT-0109,미끄럼틀 국민안전행동요령,1.0000000000000002
193,공연장,DialogAdapter,IT-0112,공연장 사고 시 대처,0.7071067811865475
194,공연장 주의사항,DialogAdapter,IT-0110,공연장 국민안전행동요령,1.0
195,공연장 안전수칙,DialogAdapter,IT-0110,공연장 국민안전행동요령,1.0000000000000002
196,공연장,DialogAdapter,IT-0112,공연장 사고 시 대처,0.7071067811865475
197,공연장 운영자,DialogAdapter,IT-0111,공연장 운영자와 관람객 국민안전행동요령,0.7071067811865475
198,공연장 사고 시 대처법,DialogAdapter,IT-0112,공연장 사고 시 대처,0.8944271909999159
199,공연장 사고,DialogAdapter,IT-0112,공연장 사고 시 대처,1.0
200,어린이 실종,DialogAdapter,IT-0113,어린이 실종 유괴 예방 국민안전행동요령,1.0
201,어린이 유괴,DialogAdapter,IT-0113,어린이 실종 유괴 예방 국민안전행동요령,0.9999999999999998
202,학교폭력,DialogAdapter,IT-0114,학교폭력 안전 국민안전행동요령,1.0
203,학교폭력 대응,DialogAdapter,IT-0114,학교폭력 안전 국민안전행동요령,1.0000000000000002
204,교통사고,DialogAdapter,IT-0115,교통사고 국민안전행동요령,1.0
205,교통사고 대처법,DialogAdapter,IT-0115,교통사고 국민안전행동요령,0.8660254037844388
206,승강기,DialogAdapter,IT-0116,승강기 사고 국민안전행동요령,0.7071067811865475
207,승강기 안전수칙,DialogAdapter,IT-0116,승강기 사고 국민안전행동요령,0.8660254037844388
208,승강기 탈때 주의사항,DialogAdapter,IT-0108,그네 국민안전행동요령,0.8660254037844388
209,어린이 행동요령,DialogAdapter,IT-0117,어린이 안전 국민안전행동요령,1.0000000000000002
210,어린이 안전 수칙,DialogAdapter,IT-0117,어린이 안전 국민안전행동요령,1.0000000000000002
211,가정 내 어린이 안전,DialogAdapter,IT-0118,가정에서 어린이 안전,0.8660254037844388
212,집안에서 어린이 안전,DialogAdapter,IT-0118,가정에서 어린이 안전,0.6546536707079772
213,마트 안 어린이 안전수칙,DialogAdapter,IT-0119,마트에서 어린이 안전,0.7559289460184544
214,마트 어린이,DialogAdapter,IT-0119,마트에서 어린이 안전,0.816496580927726
215,학교내 어린이 안전,DialogAdapter,IT-0120,학교에서 어린이 안전,0.93
216,교내 어린이 안전,DialogAdapter,IT-0120,학교에서 어린이 안전,0.6666666666666669
217,공원 어린이 안전,DialogAdapter,IT-0121,공원에서 어린이 안전,1.0
218,자살 예방,DialogAdapter,IT-0124,자살 예방 방법,0.9999999999999998
219,자살,DialogAdapter,IT-0124,자살 예방 방법,0.7071067811865475
220,자살 예방 행동요령,DialogAdapter,IT-0122,자살 예방 국민안전행동요령,0.8660254037844388
221,자살 징후,DialogAdapter,IT-0123,자살 징후,0.816496580927726
222,자살 전조,DialogAdapter,IT-0123,자살 징후,1.0
223,자살 조짐,DialogAdapter,IT-0123,자살 징후,1.0
224,자살 예방,DialogAdapter,IT-0124,자살 예방 방법,0.9999999999999998
225,자살,DialogAdapter,IT-0124,자살 예방 방법,0.7071067811865475
226,자살 예방 행동요령,DialogAdapter,IT-0122,자살 예방 국민안전행동요령,0.8660254037844388
227,자전거 행동요령,DialogAdapter,IT-0125,자전거 안전 국민안전행동요령,1.0000000000000002
228,자전거 안전 수칙,DialogAdapter,IT-0125,자전거 안전 국민안전행동요령,1.0000000000000002
229,야영장,DialogAdapter,IT-0126,야영장 안전 국민안전행동요령,1.0
230,야영장 안전 수칙,DialogAdapter,IT-0126,야영장 안전 국민안전행동요령,1.0000000000000002
231,야영장 행동요령,DialogAdapter,IT-0126,야영장 안전 국민안전행동요령,1.0000000000000002
232,수돗물,DialogAdapter,IT-0127,수돗물 단수 국민안전행동요령,1.0
233,수돗물 단수,DialogAdapter,IT-0127,수돗물 단수 국민안전행동요령,0.7071067811865475
234,수돗물 끊겼을때,DialogAdapter,IT-0127,수돗물 단수 국민안전행동요령,0.816496580927726
235,지역축제장,DialogAdapter,IT-0128,지역축제장 안전 국민안전행동요령,0.816496580927726
236,지역축제장 안전수칙,DialogAdapter,IT-0128,지역축제장 안전 국민안전행동요령,0.8944271909999159
237,농기계,DialogAdapter,IT-0129,농기계 안전 국민안전행동요령,1.0
238,농기계 안전수칙,DialogAdapter,IT-0117,어린이 안전 국민안전행동요령,0.6666666666666669
239,농기계 사용,DOUB API,IT-0129,농기계 안전 국민안전행동요령,1.0
240,가스 안전 행동요령,DialogAdapter,IT-0039,가뭄 국민안전행동요령,0.8660254037844388
241,가스 안전,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
242,가스 사용시,DOUB API,IT-0131,가스 사용 시,1.0
243,가스 사용시 주의사항,DialogAdapter,IT-0131,가스 사용 시,0.94
244,부탄 가스레인지,DialogAdapter,IT-0134,부탄 가스레인지 사용법,0.816496580927726
245,부탄가스레인지,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
246,가스 누출 대응법,DialogAdapter,IT1607320217567001,대기·수질오염 신고 안내,0.816496580927726
247,가스 누출,DialogAdapter,IT1607320217567001,대기·수질오염 신고 안내,0.9999999999999998
248,전기 안전 행동요령,DialogAdapter,IT-0136,전기 안전 국민안전행동요령,0.8944271909999159
249,전기 안전 행동,DialogAdapter,IT-0072,전기 사고 국민안전행동요령,0.8660254037844388
250,전기 안전,DialogAdapter,IT-0072,전기 사고 국민안전행동요령,0.7071067811865475
251,비상대비 대응법,DialogAdapter,IT-0137,비상대비 국민안전행동요령,1.0000000000000002
252,비상대비 수칙,DialogAdapter,IT-0137,비상대비 국민안전행동요령,0.8660254037844388
253,재난 대비 행동,DialogAdapter,IT-0138,재난대비 국민안전행동요령,0.8660254037844388
254,재난 대비,DialogAdapter,IT-0138,재난대비 국민안전행동요령,1.0
255,재난 대비 준비할 것,DialogAdapter,IT-0139,재난 대비 준비 사항,0.8660254037844388
256,재난 대비사항,DialogAdapter,IT-0139,재난 대비 준비 사항,0.8660254037844388
257,재난 대비 준비 식품,DialogAdapter,IT-0140,재난 대비 식품 의약품,0.8660254037844388
258,재난 대비 준비 의약품,DialogAdapter,IT-0140,재난 대비 식품 의약품,0.8660254037844388
259,재난 대비 준비 위생용품,DialogAdapter,IT-0141,재난 대비 위생용품 생활용품,0.8944271909999159
260,재난 대비 준비 생활용품,DialogAdapter,IT-0141,재난 대비 위생용품 생활용품,0.8944271909999159
261,재난 대비 준비 안전용품,DialogAdapter,IT-0142,재난 대비 안전용품 응급처치용품,0.8944271909999159
262,재난 대비 응급 처치용품,DialogAdapter,IT-0142,재난 대비 안전용품 응급처치용품,1.0
263,국민안전행동요령 동영상,DialogAdapter,IT-0143,국민안전행동요령 동영상,1.0
264,신고내역조회,DialogAdapter,IT-0152,신고 내역 조회,1.0
265,신고내역,DialogAdapter,IT-0152,신고 내역 조회,0.816496580927726
266,신고조회,DialogAdapter,IT-0152,신고 내역 조회,1.0
267,신고처리 관련 문의,DialogAdapter,IT-0153,신고 처리 관련 문의,1.0
268,신고처리,DialogAdapter,IT1610007855287001,신고 처리 기관 문의,0.9999999999999998
269,신고 결과 불만족,DialogAdapter,IT-0154,신고 처리 결과 불만족,0.8660254037844388
270,신고 불만족,DialogAdapter,IT-0154,신고 처리 결과 불만족,0.816496580927726
271,신고 결과가 마음에 안들어,DialogAdapter,IT-0154,신고 처리 결과 불만족,0.8660254037844388
272,신고 취소,DialogAdapter,IT-0156,신고 취하,0.9999999999999998
273,신고 철회,DialogAdapter,IT-0020,신고 안내,0.7071067811865475
274,신고 접수 철회,DialogAdapter,IT-0156,신고 취하,0.8660254037844388
275,유선전화 신고,DialogAdapter,IT-0158,유선전화 신고 문의,1.0
276,유선 전화,DialogAdapter,IT-0158,유선전화 신고 문의,1.0
277,Gps 작동 오류,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
278,gPs작동오류,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
279,GPS 동작 오류,DialogAdapter,IT-0160,GPS 작동 오류,0.816496580927726
280,업데이트,DialogAdapter,IT-0161,앱 업데이트 문의,0.7071067811865475
281,업데이트 문의,DialogAdapter,IT-0161,앱 업데이트 문의,1.0
282,인증번호가 안와,DialogAdapter,IT-0162,본인인증번호 수신 불가,0.816496580927726
283,본인인증번호 안올때,DialogAdapter,IT-0162,본인인증번호 수신 불가,0.8660254037844388
284,아이디ㆍ비번 분실,DialogAdapter,IT-0163,아이디 비밀번호 분실,0.816496580927726
285,아이디ㆍ비번 까먹었어,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
286,재난 정보,DialogAdapter,IT-0164,재난종합상황분석,0.7071067811865475
287,재난 상황별 대처법,DialogAdapter,IT-0044,상황별 지진 국민안전행동요령,0.75
288,이번달 날씨,DOUB API,IT-0166,이번 달 기상전망,1.0
289,기상 정보,DialogAdapter,IT-0166,이번 달 기상전망,1.0
290,날씨정보,DialogAdapter,IT-0166,이번 달 기상전망,1.0
291,요즘 재난 현황,DialogAdapter,IT-0170,이번 달 주요재난현황,0.6666666666666669
292,요새 재난 현황 알려줘,DialogAdapter,IT-0164,재난종합상황분석,0.6666666666666669
293,요새 주의할 행동,DialogAdapter,IT-0164,재난종합상황분석,0.6666666666666669
294,요즘 안전수칙,DialogAdapter,IT-0172,이번 달 국민안전행동요령,1.0
295,신고처리 현황,DialogAdapter,IT-0176,전체 신고처리현황 보기,1.0
296,지역별 신고처리 현황,DialogAdapter,IT-0176,전체 신고처리현황 보기,0.8660254037844388
297,도움말 요청,DialogAdapter,IT-0179,도움말 요청,0.816496580927726
298,도와줘,DialogAdapter,IT-0179,도움말 요청,1.0
299,너는 뭘 할수있어?,DialogAdapter,IT-0179,도움말 요청,0.9999999999999999
300,도움말,DialogAdapter,IT-0179,도움말 요청,1.0
301,코로나 신고 어떻게 해?,DialogAdapter,IT1607321122687001,코로나19 신고 유형 안내,0.9999999999999998
302,신고사진 어떻게 찍어야되?,DialogAdapter,IT-0193,불법주정차 신고 촬영 방법 안내,0.816496580927726
303,불법주차 신고 사진 찍는법,DialogAdapter,IT-0193,불법주정차 신고 촬영 방법 안내,0.96
304,불법주차 촬영,DialogAdapter,IT1607320483954001,불법주정차 신고 유형 안내,0.816496580927726
305,신고지도,DialogAdapter,IT-0196,신고현황지도 보기,0.816496580927726
306,신고지도 보여줘,DialogAdapter,IT-0196,신고현황지도 보기,0.816496580927726
307,사고다발지역,DialogAdapter,IT-0197,사고다발지역 보기,1.0
308,사고다발 지역 보여줘,DialogAdapter,IT-0197,사고다발지역 보기,1.0000000000000002
